id,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,key,duration_ms,peak,chart_time
4KW1lqgSr8TKrvBII0Brf8,0.714,0.566,0.142,0.00000125,0.57,-4.408,0.056,0.449,113.074,4,7,135920,115,10
299lFlaAsNQdgbIZNPmIA0,0.326,0.139,0.978,0.00000365,0.102,-19.668,0.0381,0.0931,120.384,5,5,166387,129,1
6IeK3Ap5m3HabwJxgI6eSE,0.725,0.276,0.76,0,0.116,-12.25,0.0599,0.717,112.89,4,7,155933,130,1
4hXAK3mjFVFOOiJQ3rKAXi,0.652,0.275,0.632,0,0.287,-12.767,0.0475,0.774,153.251,4,0,130027,131,1
1WRy5l3TwrwlzNmB5bOeKw,0.724,0.456,0.215,0.00000241,0.105,-10.009,0.127,0.0481,133.051,4,7,212947,123,8
4tHqQMWSqmL6YjXwsqthDI,0.418,0.106,0.994,0.0292,0.179,-22.507,0.0448,0.8,46.718,4,8,85267,133,1
7yHEDfrJNd0zWOfXwydNH0,0.636,0.727,0.0161,0.00000112,0.151,-5.852,0.106,0.358,107.988,4,9,244453,63,11
3y9cCbnBn0zjkJa2YkOj70,0.803,0.585,0.0734,0.0000287,0.201,-5.39,0.087,0.241,146.02,4,0,254080,135,3
25khomWgBVamSdKw7hzm3l,0.356,0.567,0.0861,0,0.137,-7.011,0.0798,0.109,135.553,5,0,242253,121,14
17Fd6Yb7mSbinKG8LoWfFl,0.663,0.713,0.0353,0.00000768,0.0843,-6.647,0.112,0.69,101.965,4,7,197933,102,14
68EMU2RD1ECNeOeJ5qAXCV,0.728,0.563,0.621,0,0.179,-8.053,0.134,0.352,100.017,4,1,217707,96,9
3pndPhlQWjuSoXhcIIdBjv,0.71,0.404,0.484,0,0.0953,-10.04,0.379,0.398,139.553,4,1,165853,117,44
27SdWb2rFzO6GWiYDBTD9j,0.628,0.698,0.0472,0.00143,0.0907,-5.608,0.105,0.732,89.976,4,6,211667,60,5
6WhzFzROw3aq3rPWjgYlxr,0.6,0.412,0.615,0.0025,0.134,-9.343,0.344,0.408,113.049,5,8,225882,113,6
0azC730Exh71aQlOt9Zj3y,0.63,0.928,0.199,0.124,0.148,-2.787,0.0331,0.465,123.963,4,9,222160,71,7
04CttTezSnv71USiiG9mIo,0.595,0.662,0.0178,0,0.0804,-6.858,0.0362,0.417,96.053,4,11,218447,86,9
5rmcjZTrE9JR1YrbNZDFNW,0.513,0.197,0.776,0.00272,0.114,-15.167,0.0851,0.049,69.82,4,2,278920,144,2
0q5DrtpnnGpOvBy5nnPMbe,0.569,0.761,0.261,0.00000671,0.0748,-6.071,0.475,0.325,180.122,4,5,184000,125,12
1FUViuNSldssMIawrOXF2i,0.609,0.887,0.0504,0.00000476,0.09,-4.749,0.0507,0.316,97.99,4,9,191812,63,15
5nA67Y0XX9JipZwYxX7Gl7,0.687,0.409,0.71,0,0.126,-7.751,0.0311,0.16,111.861,4,9,232600,112,10
32lgtADX2cB9I4KFs1Y1py,0.515,0.669,0.0285,0.0000383,0.187,-6.469,0.0742,0.195,174.013,4,8,220307,148,4
0NWqNXBJTpXbkI5rPWNy3p,0.64,0.423,0.446,0.000151,0.095,-10.567,0.0657,0.18,120.029,4,8,321027,149,5
5yuShbu70mtHXY0yLzCQLQ,0.662,0.496,0.248,0,0.0769,-8.267,0.109,0.133,81.951,4,5,179613,24,44
1D3ODoXHBLpdxolZRHWV1j,0.696,0.743,0.0778,0,0.0581,-3.838,0.0331,0.644,122.978,4,6,201254,107,5
6O6M7pJLABmfBRoGZMu76Y,0.716,0.806,0.0361,0.00413,0.244,-7.602,0.0466,0.347,100.033,4,4,225800,128,8
6pDVjCUA3B1vg9waKutAsv,0.664,0.439,0.67,0.00027,0.119,-7.296,0.136,0.376,148.073,4,4,197653,153,4
1cG0umU5TKStygKsPFZ9pY,0.483,0.787,0.112,0,0.257,-5.244,0.102,0.58,122.058,4,8,191379,100,11
433P7tDcIAi6NLnf4Sh6tI,0.836,0.439,0.0237,0,0.617,-9.628,0.148,0.241,133.937,3,0,189853,145,8
4eqne0oIdt9GW2ubiliny0,0.273,0.161,0.961,0.000905,0.112,-16.091,0.0357,0.111,64.16,4,6,162200,156,1
0F1Rc18rZcJOALxIIQPTYd,0.768,0.632,0.45,0,0.0449,-3.807,0.0254,0.786,102.061,4,0,212027,157,1
3hB5DgAiMAQ4DzYbsMq1IT,0.609,0.378,0.835,0,0.28,-9.828,0.438,0.515,100.418,4,4,233720,104,7
19a3JfW8BQwqHWUMbcqSx8,0.474,0.741,0.0602,0,0.115,-3.69,0.111,0.402,174.1,4,6,196040,139,8
1ADjWm8QNhgNV8yCNNgQ1T,0.464,0.63,0.0464,0,0.295,-7.337,0.182,0.527,132.96,5,7,204093,160,1
6mICuAdrwEjh6Y6lroV2Kg,0.852,0.773,0.187,0.0000305,0.159,-2.921,0.0776,0.907,102.034,4,8,195840,52,18
32OWobmyAz8J2qA8iWekyS,0.666,0.543,0.511,0,0.0911,-9.188,0.0446,0.881,161.947,4,6,182947,162,1
0PJIbOdMs3bd5AT8liULMQ,0.715,0.703,0.192,0,0.113,-3.825,0.0503,0.596,119.749,4,5,238320,154,8
12REd1n8PeiHHWOh066tpr,0.494,0.559,0.436,0,0.164,-5.445,0.0565,0.264,119.247,4,0,233337,84,9
1trZGMI2CGyVT44STkpCoN,0.809,0.504,0.00156,0,0.0856,-3.201,0.15,0.525,120.065,4,2,223969,127,6
69bp2EbF7Q2rqc5N3ylezZ,0.654,0.76,0.0797,0,0.299,-3.669,0.045,0.41,99.945,4,0,200787,142,6
4QdovcM8j50QPlyR7tH4xe,0.693,0.65,0.0398,0,0.186,-8.376,0.192,0.663,85.026,4,1,218480,148,6
05Z7jet4VDNVgNQWcYHnrk,0.762,0.576,0.0556,0,0.0869,-4.951,0.0829,0.316,142.096,4,1,220813,117,21
2FBUoWkIuQXwayw2RNo5l6,0.903,0.62,0.00347,0.000119,0.0504,-8.094,0.0587,0.539,134.96,4,2,267067,151,8
1vvNmPOiUuyCbgWmtc6yfm,0.819,0.913,0.0935,0.0000372,0.161,-3.059,0.0427,0.536,119.989,4,4,219160,152,5
3NJG6vMH1ZsectZkocMEm0,0.597,0.743,0.181,0,0.0796,-3.095,0.042,0.299,122.798,4,6,239853,154,5
042x9bsUBWW2fJgJ6fUh61,0.713,0.733,0.0933,0.0000223,0.237,-6.431,0.152,0.502,108.992,4,6,196307,71,9
6WSBZroxQaO3FYEpT2ACFH,0.669,0.599,0.596,0.0366,0.116,-8.347,0.222,0.762,152.05,4,4,285520,163,3
7129iqBafaphfc3WPCGC0L,0.728,0.489,0.313,0,0.386,-5.868,0.0611,0.316,119.816,4,10,237300,134,8
5VEuraNSVxMTzDTtrmL3lQ,0.648,0.228,0.769,0,0.0983,-12.335,0.0454,0.503,125.526,4,3,144827,175,1
39pS70eeDvyCAF3t8NAlVV,0.834,0.779,0.279,0,0.121,-1.075,0.224,0.391,130.002,4,4,222707,61,17
0rHJxNaQRMGK6Y4TUx3xRO,0.79,0.544,0.643,0,0.13,-6.624,0.368,0.467,146.077,4,10,219947,153,5
55OdqrG8WLmsYyY1jijD9b,0.863,0.576,0.124,0,0.143,-5.687,0.239,0.832,132.054,4,5,236293,98,16
2XMTqoHHSH0lvuXrvIEdco,0.683,0.708,0.0398,0.155,0.686,-6.244,0.0305,0.355,92.991,4,5,237707,135,7
4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,0.0415,0.00000316,0.17,-8.39,0.103,0.562,164.023,4,6,223080,106,7
34i4yxPrHWquuR4kjiivFO,0.674,0.593,0.201,0.000529,0.209,-6.47,0.0582,0.464,116.995,4,11,233077,130,7
4IWGnyOHDrVZEtPWfs4s7q,0.681,0.701,0.106,0,0.208,-6.336,0.0767,0.398,139.952,4,9,175203,166,13
7lsYGc5H5DHktxO7gbB8bN,0.544,0.593,0.0317,0,0.101,-7.569,0.0891,0.392,149.945,4,7,221920,183,1
6ZOPiKQeibCn7fP8dncucL,0.687,0.42,0.612,0.00000264,0.0849,-7.847,0.0318,0.471,82.449,3,7,230600,139,8
10I3CmmwT0BkOVhduDy53o,0.762,0.666,0.00427,0,0.127,-6.055,0.0916,0.278,118.97,4,0,232093,176,5
6j0teRL3WdExzqmy334sh5,0.886,0.629,0.051,0.00000766,0.121,-4.404,0.306,0.487,158.002,4,1,182491,186,2
6Ius4TC0L3cN74HT7ENE6e,0.504,0.705,0.0752,0,0.128,-8.205,0.364,0.584,175.483,4,6,239320,166,13
5oyUurs28XRagLa8lgm6V3,0.96,0.547,0.0496,0,0.216,-6.992,0.0786,0.186,121.01,4,6,223093,95,8
